100000
0,-6807,-5329
1,-5395,9851
2,5857,9219
3,-3058,4769
4,-6630,4528
5,-1565,-5318
6,-2450,-1561
7,6817,-7883
8,-410,-7383
9,-7010,1994
10,2002,4550
11,1270,7888
12,8372,6286
13,5958,2214
14,-7122,4203
15,-9361,-2154
16,-794,-6718
17,-7115,8696
18,8983,8330
19,-3428,-2940
20,-9051,-1767
21,-6543,7504
22,1057,-7947
23,6450,9548
24,-185,7985
25,-3677,-1062
26,-8636,-724
27,-5461,-3336
28,-8025,2882
29,-4089,-6222
30,7140,-5419
31,1698,-6907
32,4078,-76
33,8734,-281
34,9306,-5815
35,6893,6887
36,-6325,-9202
37,9163,9591
38,1343,-7550
39,2816,6547
40,-6613,-6477
41,134,-1149
42,-3273,4826
43,447,294
44,215,8282
45,-2508,-2295
46,-7229,6626
47,9388,-5759
48,1150,-6340
49,5097,3248
50,-2036,-2063
51,-2226,5102
52,-8964,2724
53,4961,-644
54,-4796,-7146
55,-194,-8634
56,6829,1616
57,6083,425
58,-1418,3918
59,5422,-8155
60,-1104,8642
61,-5327,6869
62,2641,-5048
63,9959,9072
64,-2335,-163
65,995,3067
66,295,2984
67,5202,-6864
68,9214,6534
69,328,-446
70,-1105,-3231
71,5766,1912
72,9117,2931
73,-1253,9159
74,4975,-7399
75,9600,666
76,6214,-9038
77,6456,6672
78,6760,2900
79,984,-9839
80,1833,-2365
81,4421,6094
82,7304,-1945
83,8453,502
84,-2556,4342
85,2759,362
86,401,-5085
87,-9635,-1324
88,-5217,-5351
89,-2963,-9425
90,4515,-2284
91,9549,-8128
92,9845,-1514
93,-2963,-5854
94,1319,830
95,-8089,-2294
96,-2189,-8111
97,1990,-3899
98,6633,3429
99,-2597,-318
100,8741,-1136
101,-2217,-7680
102,-8837,-468
103,-8710,2952
104,-7992,-9306
105,-5428,578
106,5152,1035
107,9242,6357
108,7351,8068
109,852,-1737
110,-8299,536
111,-1364,-1220
112,-7038,6011
113,-8283,344
114,9547,8637
115,-873,-5837
